label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Papelería,223,154,412,572,-as-a-workspace-layout-office-object-isolated-on-white-background-free-photo.jpg,1470,980
Papelería,637,19,713,695,-as-a-workspace-layout-office-object-isolated-on-white-background-free-photo.jpg,1470,980
Lápices,628,525,385,256,-as-a-workspace-layout-office-object-isolated-on-white-background-free-photo.jpg,1470,980
Papelería,139,99,311,199,-blanco-pluma-telC3A9fono-inteligente-y-taza-de-cafC3A9-en-la-mesa-de-madera.jpg,450,299
Lápices,42,182,138,117,-blanco-pluma-telC3A9fono-inteligente-y-taza-de-cafC3A9-en-la-mesa-de-madera.jpg,450,299
Papelería,8,36,198,246,-de-oficina-con-vista-superior-de-suministros-bloc-de-notas-pluma-y-papel-de.jpg,450,300
Lápices,81,79,91,188,-de-oficina-con-vista-superior-de-suministros-bloc-de-notas-pluma-y-papel-de.jpg,450,300
Papelería,173,116,265,177,-portC3A1til-en-la-pequeC3B1a-mesa-de-madera-trabajar-en-casa-en-concepto-de.jpg,450,299
Lápices,247,164,107,73,-portC3A1til-en-la-pequeC3B1a-mesa-de-madera-trabajar-en-casa-en-concepto-de.jpg,450,299
Papelería,0,141,346,158,-y-un-bolC3ADgrafo-con-ordenador-portC3A1til-y-ratC3B3n-inalC3A1mbrico-en-el.jpg,450,300
Lápices,210,195,152,105,-y-un-bolC3ADgrafo-con-ordenador-portC3A1til-y-ratC3B3n-inalC3A1mbrico-en-el.jpg,450,300
Papelería,0,76,325,150,100224057-computadora-portC3A1til.jpg,450,300
Lápices,179,153,144,73,100224057-computadora-portC3A1til.jpg,450,300
Papelería,70,74,242,192,106185537-elementos-comerciales-caC3ADdos-en-desorden-creativo-en-la-mesa-blanca.jpg,450,300
Lápices,174,249,155,40,106185537-elementos-comerciales-caC3ADdos-en-desorden-creativo-en-la-mesa-blanca.jpg,450,300
Papelería,90,107,356,193,107389923-hombre-de-negocios-manos-escribiendo-en-espiral-en-el-escritorio-de-madera.jpg,450,300
Papelería,85,4,252,292,124383894-bloc-de-notas-abierto-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,306
Lápices,0,76,128,131,124383894-bloc-de-notas-abierto-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,306
Lápices,288,120,49,186,124383894-bloc-de-notas-abierto-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,306
Papelería,29,43,193,213,142304193-cuaderno-y-taza-de-cafC3A9-sobre-fondo-de-madera-vista-superior.jpg,450,298
Papelería,228,64,196,220,142304193-cuaderno-y-taza-de-cafC3A9-sobre-fondo-de-madera-vista-superior.jpg,450,298
Lápices,123,203,131,84,142304193-cuaderno-y-taza-de-cafC3A9-sobre-fondo-de-madera-vista-superior.jpg,450,298
Papelería,170,45,155,209,142695051-vista-superior-de-la-tableta-digital-del-bloc-de-notas-s-tC3A9-sobre-fondo-rojo.jpg,450,300
Lápices,361,110,69,138,142695051-vista-superior-de-la-tableta-digital-del-bloc-de-notas-s-tC3A9-sobre-fondo-rojo.jpg,450,300
Papelería,129,78,183,216,152792660-bloc-de-notas-con-cuaderno-y-taza-de-cafC3A9-en-la-mesa.jpg,450,300
Lápices,254,154,32,142,152792660-bloc-de-notas-con-cuaderno-y-taza-de-cafC3A9-en-la-mesa.jpg,450,300
Papelería,207,107,131,172,167982978-bloc-de-notas-con-teclado-de-computadora-y-flor-en-la-mesa.jpg,450,300
Lápices,271,173,54,105,167982978-bloc-de-notas-con-teclado-de-computadora-y-flor-en-la-mesa.jpg,450,300
Papelería,156,116,185,169,170992999-mesa-de-escritorio-de-oficina-con-computadora-portC3A1til-taza-de-cafC3A9-y-libreta.jpg,450,299
Lápices,338,148,52,112,170992999-mesa-de-escritorio-de-oficina-con-computadora-portC3A1til-taza-de-cafC3A9-y-libreta.jpg,450,299
Papelería,129,61,203,139,196963230-bloc-de-notas-vacC3ADo-teclado-de-computadora-y-otros-objetos-comerciales2.jpg,450,300
Lápices,230,247,58,53,196963230-bloc-de-notas-vacC3ADo-teclado-de-computadora-y-otros-objetos-comerciales2.jpg,450,300
Papelería,165,68,145,183,3A1-encima-de-la-mesa-de-madera-con-suministros-vista-superior-endecha-plana2.jpg,450,300
Lápices,300,110,30,130,3A1-encima-de-la-mesa-de-madera-con-suministros-vista-superior-endecha-plana2.jpg,450,300
Lápices,140,68,34,166,3A1-encima-de-la-mesa-de-madera-con-suministros-vista-superior-endecha-plana2.jpg,450,300
Papelería,158,0,182,200,45899225-oficina-de-escritorio.jpg,450,300
Lápices,220,26,96,172,45899225-oficina-de-escritorio.jpg,450,300
Papelería,99,72,316,226,47503250-cuaderno-abierto-con-material-de-oficina-el-espacio-para-el-texto.jpg,450,322
Lápices,0,88,80,148,47503250-cuaderno-abierto-con-material-de-oficina-el-espacio-para-el-texto.jpg,450,322
Lápices,76,283,223,24,47503250-cuaderno-abierto-con-material-de-oficina-el-espacio-para-el-texto.jpg,450,322
Papelería,92,86,240,174,5886683-escritorio-de-oficina.jpg,450,300
Lápices,244,122,54,89,5886683-escritorio-de-oficina.jpg,450,300
Papelería,144,95,180,155,60599405-cuaderno-con-bolC3ADgrafo-y-equipo-de-oficina-en-escritorio.jpg,450,300
Lápices,229,209,95,63,60599405-cuaderno-con-bolC3ADgrafo-y-equipo-de-oficina-en-escritorio.jpg,450,300
Papelería,112,21,290,218,65860703-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera.jpg,450,300
Lápices,177,190,196,92,65860703-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera.jpg,450,300
Lápices,247,185,170,115,65860703-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera.jpg,450,300
Papelería,59,38,286,180,66006347-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera2.jpg,450,300
Lápices,111,223,247,50,66006347-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera2.jpg,450,300
Lápices,175,226,237,72,66006347-asuntos-a-bloc-de-notas-y-artC3ADculos-de-papelerC3ADa-en-la-mesa-de-madera2.jpg,450,300
Papelería,98,44,239,287,67190062-abriC3B3-el-bloc-de-notas-y-una-taza-de-cafC3A9-con-el-buC3B1uelo-en-mesa-de-madera2.jpg,450,332
Lápices,122,1,251,40,67190062-abriC3B3-el-bloc-de-notas-y-una-taza-de-cafC3A9-con-el-buC3B1uelo-en-mesa-de-madera2.jpg,450,332
Papelería,4,106,273,193,69429585-cuaderno-con-pluma-portC3A1til-y-flor-en-una-mesa-de-madera-lugar-de-trabajo-de-oficina2.jpg,450,321
Lápices,298,145,31,126,69429585-cuaderno-con-pluma-portC3A1til-y-flor-en-una-mesa-de-madera-lugar-de-trabajo-de-oficina2.jpg,450,321
Papelería,190,134,131,155,72964002-el-plan-para-el-viaje-bolC3ADgrafo-en-mano-y-bloc-de-notas-en-blanco2.jpg,450,300
Lápices,298,161,126,28,72964002-el-plan-para-el-viaje-bolC3ADgrafo-en-mano-y-bloc-de-notas-en-blanco2.jpg,450,300
Papelería,73,12,276,242,73344454-abierto-diariamente-una-computadora-y-un-smartphone-en-el-escritorio-en-la-oficina2.jpg,450,300
Lápices,100,198,164,76,73344454-abierto-diariamente-una-computadora-y-un-smartphone-en-el-escritorio-en-la-oficina2.jpg,450,300
Papelería,59,41,389,259,74365472-cuaderno-de-marketing-creativo-libreta-de-bocetos2.jpg,450,300
Papelería,108,212,218,325,7979825b19ea6d5d05f9256ea05f5fc2.jpg,418,626
Lápices,29,328,91,258,7979825b19ea6d5d05f9256ea05f5fc2.jpg,418,626
Lápices,100,338,66,214,7979825b19ea6d5d05f9256ea05f5fc2.jpg,418,626
Papelería,107,50,284,169,86685680-escritorio-de-oficina-con-un-cuaderno-y-computadora.jpg,450,278
Lápices,119,119,225,81,86685680-escritorio-de-oficina-con-un-cuaderno-y-computadora.jpg,450,278
Papelería,68,5,256,292,87977158-abriC3B3-el-bloc-de-notas-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,312
Lápices,286,43,109,176,87977158-abriC3B3-el-bloc-de-notas-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,312
Lápices,10,285,295,27,87977158-abriC3B3-el-bloc-de-notas-y-taza-de-cafC3A9-con-donut-en-la-mesa-de-madera.jpg,450,312
Papelería,125,49,270,251,94039092-cuaderno-con-cafC3A9-y-lC3A1pices-de-colores-sobre-la-mesa-de-madera.jpg,450,300
Lápices,333,105,37,195,94039092-cuaderno-con-cafC3A9-y-lC3A1pices-de-colores-sobre-la-mesa-de-madera.jpg,450,300
Papelería,76,37,149,184,96062162-mesa-de-oficina-con-bloc-de-notas-en-blanco-y-portC3A1til.jpg,450,250
Lápices,139,49,41,164,96062162-mesa-de-oficina-con-bloc-de-notas-en-blanco-y-portC3A1til.jpg,450,250
Papelería,94,42,259,230,96817838-viaje-plano-yacC3ADa-sobre-fondo-turquesa2.jpg,450,300
Lápices,138,48,28,114,96817838-viaje-plano-yacC3ADa-sobre-fondo-turquesa2.jpg,450,300
Papelería,139,114,220,153,B3rio-branco-escritC3B3rio-de-C3A1rea-de-trabalho-com-laptop-smartphone-tela.jpg,450,283
Lápices,287,108,75,159,B3rio-branco-escritC3B3rio-de-C3A1rea-de-trabalho-com-laptop-smartphone-tela.jpg,450,283
Papelería,12,86,261,156,abajo-minimalista-con-tableta-notebook-y-lentes-en-estilo-plano-fondo-blanco.jpg,450,300
Lápices,115,118,47,109,abajo-minimalista-con-tableta-notebook-y-lentes-en-estilo-plano-fondo-blanco.jpg,450,300
Papelería,113,84,223,171,adera-y-equipos-de-oficina-con-la-falta-de-definiciC3B3n-de-tC3A9-caliente-y.jpg,450,300
Lápices,35,196,71,104,adera-y-equipos-de-oficina-con-la-falta-de-definiciC3B3n-de-tC3A9-caliente-y.jpg,450,300
Papelería,164,43,301,354,af18aa52ae7204ef79c802a649f72d98.jpg,626,417
Lápices,469,38,63,168,af18aa52ae7204ef79c802a649f72d98.jpg,626,417
Papelería,80,64,281,195,ajo-de-vista-superior-con-cuaderno-en-blanco-y-lC3A1piz-en-la-mesa-de-madera.jpg,450,291
Lápices,94,14,165,47,ajo-de-vista-superior-con-cuaderno-en-blanco-y-lC3A1piz-en-la-mesa-de-madera.jpg,450,291
Papelería,141,50,164,218,anco-con-suministros-de-oficina-y-taza-de-cafC3A9-en-la-mesa-de-corcho-vista.jpg,450,300
Lápices,162,110,13,96,anco-con-suministros-de-oficina-y-taza-de-cafC3A9-en-la-mesa-de-corcho-vista.jpg,450,300
Papelería,19,25,146,189,cC3ADcios-lC3A1pis-caderno-instrumentos-de-escrita-material-de-escritC3B3rio.jpg,450,338
Lápices,149,18,31,183,cC3ADcios-lC3A1pis-caderno-instrumentos-de-escrita-material-de-escritC3B3rio.jpg,450,338
Papelería,168,90,124,152,cina-blanca-con-cuaderno-en-blanco-computadora-suministros-y-taza-de-cafC3A9.jpg,450,300
Papelería,214,45,111,145,cina-blanca-con-cuaderno-en-blanco-computadora-suministros-y-taza-de-cafC3A9.jpg,450,300
Lápices,298,132,103,121,cina-blanca-con-cuaderno-en-blanco-computadora-suministros-y-taza-de-cafC3A9.jpg,450,300
Papelería,146,45,159,197,ersona-escribiendo-en-un-pequeC3B1o-bloc-de-notas-en-un-escritorio-de-madera.jpg,450,300
Lápices,278,103,94,54,ersona-escribiendo-en-un-pequeC3B1o-bloc-de-notas-en-un-escritorio-de-madera.jpg,450,300
Papelería,276,50,212,289,escritorio-estudiante-ocupado-cuaderno-abierto-blanco_292052-307.jpg,626,391
Lápices,160,351,73,40,escritorio-estudiante-ocupado-cuaderno-abierto-blanco_292052-307.jpg,626,391
Lápices,263,371,74,20,escritorio-estudiante-ocupado-cuaderno-abierto-blanco_292052-307.jpg,626,391
Lápices,560,145,66,91,escritorio-estudiante-ocupado-cuaderno-abierto-blanco_292052-307.jpg,626,391
Lápices,564,101,62,61,escritorio-estudiante-ocupado-cuaderno-abierto-blanco_292052-307.jpg,626,391
Papelería,145,172,444,454,escritorio-estudiante-ocupado-cuaderno-doblado-blanco_1101-3025.jpg,626,626
Lápices,526,389,100,237,escritorio-estudiante-ocupado-cuaderno-doblado-blanco_1101-3025.jpg,626,626
Papelería,111,113,237,166,evo-mesa-de-oficina-con-bloc-de-notas-abierto-y-otros-accesorios-sobre-fondo.jpg,450,300
Lápices,353,174,49,110,evo-mesa-de-oficina-con-bloc-de-notas-abierto-y-otros-accesorios-sobre-fondo.jpg,450,300
Papelería,0,65,287,219,fC3A9-con-nota-en-color-gris-moderna-mesa-de-trabajo-o-escritorio-espacio-de.jpg,450,300
Lápices,290,78,21,156,fC3A9-con-nota-en-color-gris-moderna-mesa-de-trabajo-o-escritorio-espacio-de.jpg,450,300
Papelería,68,19,136,152,image.jpeg,275,183
Lápices,207,17,28,74,image.jpeg,275,183
Papelería,16,28,67,52,image10.jpeg,100,100
Lápices,83,46,7,33,image10.jpeg,100,100
Papelería,37,25,45,59,image12.jpeg,100,100
Lápices,71,32,8,46,image12.jpeg,100,100
Papelería,89,56,90,115,image16.jpeg,275,183
Lápices,180,69,15,79,image16.jpeg,275,183
Lápices,126,17,75,34,image16.jpeg,275,183
Papelería,113,48,85,110,image27.jpeg,275,183
Lápices,176,60,15,85,image27.jpeg,275,183
Papelería,80,32,114,136,image29.jpeg,275,183
Lápices,199,80,43,98,image29.jpeg,275,183
Papelería,40,71,171,120,image30.jpeg,259,194
Papelería,15,30,79,70,image4.jpeg,100,100
Lápices,68,34,12,43,image4.jpeg,100,100
Papelería,33,24,58,76,image8.jpeg,100,100
Lápices,75,55,13,45,image8.jpeg,100,100
Papelería,0,89,76,88,images18.jpg,275,183
Lápices,34,120,9,40,images18.jpg,275,183
Papelería,160,99,130,167,mesa-con-el-bloc-de-notas-materiales-de-construcciC3B3n-y-la-taza-de-cafC3A9.jpg,450,300
Lápices,300,112,19,154,mesa-con-el-bloc-de-notas-materiales-de-construcciC3B3n-y-la-taza-de-cafC3A9.jpg,450,300
Papelería,148,92,131,158,ndicionamiento-fC3ADsico-concepto-de-planificaciC3B3n-de-la-dieta-de-control.jpg,450,300
Lápices,173,7,121,57,ndicionamiento-fC3ADsico-concepto-de-planificaciC3B3n-de-la-dieta-de-control.jpg,450,300
Papelería,184,132,126,152,os-y-tecnologC3ADa-cerca-del-portC3A1til-con-en-la-computadora-portC3A1til-y.jpg,450,300
Lápices,308,204,116,95,os-y-tecnologC3ADa-cerca-del-portC3A1til-con-en-la-computadora-portC3A1til-y.jpg,450,300
Papelería,253,111,584,508,pngtree-coffee-notebook-blue-wood-desktop-business-background-image_770794.jpg,960,640
Lápices,835,233,71,357,pngtree-coffee-notebook-blue-wood-desktop-business-background-image_770794.jpg,960,640
Papelería,113,322,358,319,pngtree-minimal-work-space-creative-flat-lay-photo-of-workspace-image_3070417.jpg,959,641
Lápices,440,340,60,301,pngtree-minimal-work-space-creative-flat-lay-photo-of-workspace-image_3070417.jpg,959,641
Papelería,396,227,506,389,pngtree-top-view-of-open-notebook-wood-grain-background-office-desktop-image_750304.jpg,960,640
Papelería,134,51,279,246,sta-superior-del-escritorio-de-oficina-con-la-pluma-el-cafC3A9-el-teclado-de.jpg,450,300
Lápices,179,54,53,135,sta-superior-del-escritorio-de-oficina-con-la-pluma-el-cafC3A9-el-teclado-de.jpg,450,300
Papelería,114,312,223,185,surtido-escritorio-laptop-cuadernos_23-2149073067.jpg,417,626
Papelería,0,252,95,156,surtido-escritorio-laptop-cuadernos_23-2149073067.jpg,417,626
Lápices,122,450,112,120,surtido-escritorio-laptop-cuadernos_23-2149073067.jpg,417,626
Papelería,97,42,319,249,trabajador-de-negocios-en-la-oficina-teclado-carpeta-de-papel-con-documentos.jpg,450,300
Lápices,90,127,88,173,trabajador-de-negocios-en-la-oficina-teclado-carpeta-de-papel-con-documentos.jpg,450,300